Question_Title,Question_ID,Author_Name,Author_ID,Author_Rep,Question_Post_Time,Question_Score,Number_Of_Views,Number_Of_Answers,Number_Of_Comments,"Edited,","Answer_Accepted,",Tags,Question_Closed
How to design entities to keep up with the depth of JSON objects?,444100,Szyszka947,427267,9,2023-02-22 19:14:01,0,31,0,6,False,False,"['c#', 'database-design', 'relational-database', 'entity', 'efcore']",False
What's the correct way to do pair programming?,444098,antonpug,40885,165,2023-02-22 18:19:41,1,77,2,3,True,False,"['coding-style', 'teamwork', 'pair-programming']",False
Are there any guidelines for calculating hardware requirements in a containerized environment?,444097,svz,98079,317,2023-02-22 17:46:51,0,25,0,4,False,False,"['design', 'architecture', 'requirements', 'hardware', 'system-requirements']",False
Signal to start FSM with React,444094,Archimedes Trajano,42195,691,2023-02-22 14:05:16,-1,22,0,1,False,False,"['typescript', 'reactjs']",False
Data Security Process; Requesting Guidance & Feedback,444093,Reahreic,316602,101,2023-02-22 13:27:46,0,13,0,0,False,False,"['security', 'development-process', 'cryptography']",False
Reducing Microservices Calls [closed],444085,user7340,362776,130,2023-02-22 00:29:33,-3,44,2,10,False,False,"['design', 'microservices', 'batch']",True
I'm adding Windows Home support to my client application. How can I perform automated testing?,444084,data princess,332471,139,2023-02-21 23:12:51,3,50,0,7,False,False,"['testing', 'continuous-integration', 'windows']",False
Preventing POST requests from being lost when database connection is lost,444082,Benjamin McKay,427223,41,2023-02-21 19:52:31,3,121,2,4,False,True,"['database', 'database-design']",False
Service Policy Management [closed],444079,stk1234,417719,95,2023-02-21 15:42:35,-3,38,0,0,False,False,"['microservices', 'github']",True
Want to make app using MySQL separate from any OS configuration [closed],444073,user3029680,324794,1,2023-02-21 00:40:33,-3,47,0,2,False,False,"['c#', 'mysql', 'visual-studio']",True
Module Federation (dynamic federation) without compile-time knowledge of MFEs? [closed],444069,Michael Ziluck,411943,97,2023-02-20 18:08:20,-2,17,0,2,False,False,"['angular', 'webpack']",True
OOP: Why is adding behaviour through inheritance considered bad? [duplicate],444066,PieterV,422276,185,2023-02-20 16:16:11,-1,74,0,17,True,False,"['object-oriented', 'inheritance', 'language-agnostic']",False
"Do test-driven and behavior-driven development belong to the ""verification"" category?",444060,BenjyTec,390718,199,2023-02-20 08:58:25,9,3000,5,2,True,False,"['tdd', 'bdd', 'verification']",False
Is this approach to website design adequate or am i making a mistake?,444049,Ismael Párica,427117,49,2023-02-19 15:48:43,3,1000,2,4,False,False,"['design', 'websites', 'crud']",False
Does Scrum prescribe work item statuses and their meanings?,444048,vman,427115,107,2023-02-19 15:26:28,-1,169,4,10,True,False,"['agile', 'scrum', 'azure-devops']",False
Sending and receiving results from microservices,444045,CrazyProgrammist,420823,101,2023-02-19 07:48:37,0,53,1,0,False,False,"['python', 'redis']",False
Storing multiple instances on a Singleton?,444036,Michael Moreno,374851,121,2023-02-18 13:04:50,1,111,1,1,True,True,"['design-patterns', 'object-oriented', 'python', 'singleton']",False
What is the best way to make an if statement condition itself conditional?,444030,Rushkie,427080,39,2023-02-18 02:19:06,2,517,5,6,True,True,"['readability', 'logical-operator']",False
When does a REST API stops being one in terms of state management?,444028,yokus,405033,9,2023-02-17 22:51:48,-1,103,1,0,True,True,"['rest', 'state', 'redis', 'spring-boot']",False
"What is the best way to set up an express app, a router, and a connection to a database? [closed]",444027,713sean,426304,27,2023-02-17 21:59:18,-2,25,0,0,False,False,"['programming-practices', 'sql-server', 'project-structure']",True
In a layered backend architecture is the repository/manager part still relevant? [duplicate],444024,Dany Y,58318,133,2023-02-17 14:21:49,0,25,0,3,True,False,"['architecture', 'layers', 'backend']",False
Selecting a large set of information from a database,444012,alaboudi,306975,193,2023-02-16 20:58:07,1,104,3,1,False,False,"['architecture', 'node.js', 'large-scale-project', 'mongo']",False
Custom #pragma directives,444008,SteveG,427022,33,2023-02-16 18:02:02,0,130,1,2,True,True,"['c++', 'c', 'compiler']",False
Wrapper class for min/max clamping and validation,444007,Cédric Moers,378840,151,2023-02-16 17:03:22,1,86,1,1,True,True,"['object-oriented-design', 'validation', 'wrapper']",False
"In DDD, is the root aggregate who has to expose the methods to tell if a child entity can be create or update?",444005,Álvaro García,412921,287,2023-02-16 16:38:53,1,68,2,1,False,False,['domain-driven-design'],False
